@relation 'multiresolution-weka.filters.unsupervised.attribute.Remove-R7,9-11'

@attribute rate numeric
@attribute sigma1 numeric
@attribute sigma2 numeric
@attribute sigma4 numeric
@attribute sigma8 numeric
@attribute sigma16 numeric
@attribute class {1,2,3}

@data
2223450,0.896435,0.811589,0.769041,0.746965,0,1
1182724,1.501407,1.401636,1.352392,1.327191,0.87994,1
788490,1.970087,1.856553,1.800935,1.77259,1.288949,1
601278,2.304977,2.17805,2.115938,2.084319,1.559999,1
45416,4.980226,3.449825,2.334659,1.491971,1.278411,1
9921,7.925047,5.559059,3.866706,2.64232,1.729401,1
34808,4.517707,3.137712,2.937847,1.043828,0.820142,1
24743,5.563226,3.898746,3.927144,2.75706,1.881422,1
2412981,0.712015,0.670921,0.607814,0.322713,0,1
1281107,1.318275,1.26675,1.202214,0.983178,0.883513,1
854078,1.762586,1.704969,1.633378,1.396393,1.292614,1
640562,2.115549,2.051626,1.972437,1.712651,1.600342,1
68493,4.856713,3.360844,2.268879,1.440116,1.00773,1
31186,7.933773,5.565846,3.871605,2.644739,1.731347,1
43182,6.111329,4.295479,2.9947,2.035692,1.361715,1
43180,6.111618,4.295689,2.994847,2.035802,1.233722,1
2525955,0.81748,0.80274,0.76596,0.749582,0,1
1262983,1.528567,1.512862,1.474233,1.457298,0.999991,1
875971,1.916388,1.892638,1.846625,1.827051,1.332757,1
662266,2.266064,2.239264,2.188042,2.166257,1.625742,1
56005,4.143976,2.843688,1.882354,1.533415,0.822003,1
61270,3.828379,2.613136,1.707112,1.363548,0.655469,1
36351,4.765209,3.318507,2.263428,1.443526,1.081034,1
57737,4.127871,2.851817,1.906645,1.134372,0.625173,1
1996732,0.984898,0.968232,0.922613,0.910946,0,1
1010920,1.687521,1.667863,1.616254,1.603101,0.975162,1
673953,2.184373,2.161606,2.101979,2.086815,1.387933,1
534123,2.453256,2.415974,2.34862,2.327477,1.58299,1
66284,4.042119,3.249358,2.389802,1.534897,0.823421,1
60009,4.410763,3.571016,2.648241,1.73406,1.001773,1
67338,4.008497,3.082821,2.4159,1.570471,0.863307,1
69003,3.8655,2.658445,2.122855,1.254183,0.830958,1
1937455,1.000071,0.959981,0.892653,0.869263,0,1
968732,1.732123,1.686147,1.610474,1.584678,0.999991,1
645833,2.236103,2.182757,2.095291,2.065579,1.414165,1
484374,2.645795,2.585716,2.48737,2.454012,1.732001,1
25375,7.933025,5.564741,3.870805,2.644269,1.731106,1
25382,7.930803,5.563159,3.869671,2.643435,1.730469,1
25776,7.870363,5.562965,3.927132,2.757031,1.881004,1
14,3.464102,2.360387,1.511858,1.439246,1.035098,1
2346816,0.825332,0.752368,0.64864,0.317035,0,2
1322802,1.349442,1.24588,1.131241,0.87041,0.774124,2
927650,1.714943,1.586891,1.455879,1.182043,1.084098,2
770579,1.867543,1.718508,1.566957,1.282014,1.184087,2
218211,2.816865,1.950995,1.184601,0.584368,0.370575,2
192866,2.741173,2.043952,1.260514,0.640515,0.343215,2
219540,2.523393,1.739938,0.99874,0.612151,0.362174,2
202598,2.64594,1.819577,1.114936,0.628776,0.38222,2
1793125,0.91258,0.821683,0.781881,0.768493,0,2
961891,1.514124,1.401671,1.351587,1.333127,0.864166,2
715259,1.787971,1.639509,1.572414,1.54292,1.066855,2
575226,2.02223,1.840647,1.755677,1.719456,1.223777,2
163171,2.885909,2.036424,1.296838,0.668501,0.214835,2
168738,2.716871,2.04728,1.302659,0.66898,0.1836,2
150558,2.89918,1.935511,1.518082,0.836273,0.029271,2
171304,2.757957,1.827651,1.294982,0.669589,0.293932,2
241470,2.905854,2.645648,1.731972,1,0,1
1323133,1.244406,1.187385,1.140729,1.00726,0.817501,1
909050,1.62531,1.557141,1.503571,1.360347,1.165703,1
687057,1.945526,1.870389,1.811668,1.656237,1.448215,1
631953,2.077418,2.006807,1.979038,1.830822,1.620126,1
56030,4.142638,2.842734,1.881635,1.127061,0.636941,1
41729,4.2469,2.939271,1.974174,1.252991,0.915621,1
57856,4.128918,2.116585,1.462113,0.949836,0.675209,1
2474034,0.691412,0.655512,0.595132,0.01218,0,1
1237029,1.398587,1.363575,1.307024,1.000129,0.999981,1
838592,1.816983,1.776101,1.712352,1.379621,1.379165,1
660064,2.085527,2.024965,1.948259,1.591383,1.588109,1
41564,6.236966,4.353144,2.995815,1.996906,1.222336,1
73904,4.339621,3.382147,2.284611,1.452507,0.745067,1
32872,6.002689,4.216929,3.927051,2.756991,1.881255,1
62407,4.835624,3.369864,2.680944,1.506801,1.024763,1
2624942,0.727587,0.64316,0.589207,0.412872,0,1
1323017,1.41853,1.335452,1.285322,1.141932,0.984057,1
916090,1.793503,1.698354,1.642787,1.486351,1.319515,1
692330,2.130669,2.025368,1.964154,1.792942,1.612361,1
56056,3.707452,2.524396,1.881848,1.127314,0.639867,1
56052,3.707649,2.524542,1.881977,1.127417,0.639987,1
36329,4.728172,3.319922,2.264496,1.444439,0.772027,1
57713,4.129092,2.852717,2.18481,1.377118,0.563658,1
2229057,0.845775,0.802527,0.773572,0.770788,0,1
1127091,1.535769,1.489024,1.458408,1.455352,0.977709,1
751399,2.009431,1.955945,1.921033,1.917554,1.390623,1
592131,2.271348,2.2142,2.168395,2.160363,1.597677,1
66211,3.266188,3.086415,2.064738,1.27733,0.823288,1
59931,3.541177,3.390686,2.290928,1.45745,1.001934,1
67260,3.238443,2.19183,1.999256,1.21678,0.863326,1
69002,2.991779,2.005825,1.660232,0.797848,0.830973,1
2030409,1.475951,0.907789,0.601635,0.351883,0,1
1078531,2.177749,1.512444,1.200426,1.002615,0.882569,1
719023,2.759317,1.982724,1.631413,1.416981,1.291655,1
539274,3.238027,2.361093,1.970251,1.735035,1.599294,1
57014,5.601608,3.897305,2.663544,1.745633,1.011909,1
25353,7.932825,5.564604,3.870712,2.644081,1.731049,1
25756,7.869433,5.562298,3.927154,2.757052,1.881208,1
37586,5.898623,4.141651,2.88058,1.945432,1.275305,1
2136006,1.053677,1.015769,0.90705,0.871402,0,2
1143973,1.671869,1.61248,1.485438,1.443779,0.867183,2
857444,1.926023,1.846422,1.696613,1.642248,1.056273,2
694600,2.136586,2.032377,1.865022,1.808103,1.20001,2
202058,2.626801,1.84705,1.206522,0.726195,0.254973,2
237518,2.443243,1.678911,1.044132,0.53554,0.225632,2
202529,2.60478,2.03717,1.255996,0.878244,0.344104,2
215203,2.642188,1.812617,1.137738,0.592514,0.379019,2
1614376,1.236736,1.18973,1.034504,0.840706,0,2
883032,1.833068,1.76159,1.578909,1.369262,0.828219,2
662749,2.111898,2.001513,1.791329,1.562011,1.016247,2
535795,2.32913,2.196404,1.973302,1.728917,1.163419,2
168452,2.855311,1.891464,1.239033,0.668523,0.18538,2
168809,2.967634,1.975707,1.302701,0.668263,0.183884,2
150558,3.116043,2.24621,1.428336,0.800755,0.028814,2
171328,3.094659,2.083625,1.294769,0.59258,0.151474,2
2075700,1.034059,0.925459,0.881677,0.865055,0,2
1113265,1.641601,1.508624,1.453933,1.432202,0.864516,2
827181,1.911597,1.747029,1.680368,1.648088,1.068521,2
661903,2.150213,1.95761,1.876606,1.836931,1.23466,2
177313,2.978005,1.98351,1.31033,0.598825,0.259399,2
179734,2.991571,1.993692,1.404183,0.697082,0.249126,2
179145,2.956472,1.979064,1.408786,0.733135,0.15339,2
176781,2.953028,1.976451,1.504627,0.743028,0.253049,2
405716,2.810102,2.07371,1.332342,0.883823,0.124997,2
246896,3.511085,2.589949,1.707752,1.176156,0.504247,2
217176,3.521544,2.566701,1.683936,1.127826,0.490451,2
193719,3.533329,2.563317,1.678261,1.156744,0.509462,2
138344,3.045609,2.034173,1.252578,0.769722,0.16082,2
143357,2.821053,1.865253,1.113378,0.773411,0.11363,2
144710,2.640221,2.315634,1.48453,0.769791,0.112054,2
118973,2.938183,2.488564,1.622663,0.865939,0.269827,2
2523526,0.906659,0.845033,0.757033,0.728124,0,3
1524347,1.326946,1.216897,1.105279,1.075241,0.65548,3
1198034,1.514617,1.36447,1.220622,1.184878,0.782366,3
1053519,1.555832,1.39294,1.229948,1.192185,0.806291,3
