@relation 'about128s-weka.filters.unsupervised.attribute.Remove-R7,9-11-weka.filters.unsupervised.attribute.NumericToNominal-R7'

@attribute rate numeric
@attribute sigma1 numeric
@attribute sigma2 numeric
@attribute sigma4 numeric
@attribute sigma8 numeric
@attribute sigma16 numeric
@attribute class {1,2,3}

@data
24743,5.563226,3.898746,3.927144,2.75706,1.881422,1
43180,6.111618,4.295689,2.994847,2.035802,1.233722,1
57737,4.127871,2.851817,1.906645,1.134372,0.625173,1
69003,3.8655,2.658445,2.122855,1.254183,0.830958,1
14,3.464102,2.360387,1.511858,1.439246,1.035098,1
202598,2.64594,1.819577,1.114936,0.628776,0.38222,2
171304,2.757957,1.827651,1.294982,0.669589,0.293932,2
57856,4.128918,2.116585,1.462113,0.949836,0.675209,1
62407,4.835624,3.369864,2.680944,1.506801,1.024763,1
57713,4.129092,2.852717,2.18481,1.377118,0.563658,1
69002,2.991779,2.005825,1.660232,0.797848,0.830973,1
37586,5.898623,4.141651,2.88058,1.945432,1.275305,1
215203,2.642188,1.812617,1.137738,0.592514,0.379019,2
171328,3.094659,2.083625,1.294769,0.59258,0.151474,2
176781,2.953028,1.976451,1.504627,0.743028,0.253049,2
118973,2.938183,2.488564,1.622663,0.865939,0.269827,2
537024,2.037905,1.425334,0.694984,0.250368,0.103259,3
796473,1.778158,1.221613,0.539298,0.332579,0.188525,3
2095500,0.859245,0.399307,0.175345,0.13213,0.103027,3
1627478,0.954784,0.406479,0.256766,0.067376,0.065527,3
24771,7.869408,5.562291,3.926647,2.75682,0.999414,1
25683,6.422278,4.520086,3.160597,2.165935,1.356987,1
41879,4.237851,2.882237,1.965861,1.248491,0.909423,1
69188,3.64319,2.513837,2.069327,0.917272,0.82414,1
40,5.359571,3.748333,2.588436,1.746425,1.024695,1
217011,2.460324,1.717847,1.062636,0.592476,0.374495,2
171330,2.979514,1.996534,1.221834,0.527131,0.108313,2
176925,2.777501,2.027031,1.446703,0.743029,0.253426,2
140877,3.264547,2.21142,1.400015,0.623977,0.316803,2
536998,2.083415,1.382046,0.75411,0.267508,0.10328,3
835401,1.622285,1.040423,0.421887,0.302175,0.016629,3
2183699,0.634879,0.307815,0.132559,0.102836,0.063021,3
1765374,0.854518,0.365399,0.238421,0.109372,0.054017,3
24747,7.869054,5.562031,3.926462,2.756669,1.880776,1
32880,7.870112,5.562789,3.927007,2.756942,1.881148,1
57715,4.128966,2.852698,1.907326,1.134978,0.625555,1
68982,3.540766,2.695304,2.122912,1.254582,0.831155,1
10,3.660601,2.48998,1.612452,0.894427,0.447214,1
